"title_name","address","address1","for_description","country","competition_corner","startDate","startMonth","startYear","endDate","endMonth","endYear","organizer_name","organizer_url","page_url"
"Talisman Wars","Unit 11 dicker mill industrial estate, hertford, SG137AE","Talisman","","GB","Throwdown Hub Presents","24","04","2020","24","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/199"
"Truro City Swingers 2020","CrossFit Truro, Threemilestone Industrial Estate, Truro TR4 9LD","CrossFit Truro","","GB","Throwdown Hub Presents","24","04","2020","24","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/200"
"Kent Classic","Orpington BR6 9SX","Tiger Pit CrossFit","","GB","Throwdown Hub Presents","24","04","2020","24","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/201"
"Homebound Throwdown: Alpha","","","","","Throwdown Hub Presents","22","04","2020","25","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/202"
"Flaming Skull Masters","Weston Road","Staffordshire County Showground","","GB","Throwdown Hub Presents","18","04","2020","18","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/203"
"ERGCOMP 2020","Weston Road","Staffordshire County Showground","","GB","Throwdown Hub Presents","18","04","2020","18","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/204"
"Flaming Skull - Teens Edition","Weston Road","Staffordshire County Showground","","GB","Throwdown Hub Presents","17","04","2020","17","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/205"
"CrossFit Colchester Same Sex 3's","39 Heckworth Cl, Colchester CO4 9TB","Crossfit Colchester","","GB","Throwdown Hub Presents","17","04","2020","18","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/206"
"Flaming Skull Throwback Throwdown","Weston Road","Staffordshire County Showground","","GB","Throwdown Hub Presents","17","04","2020","17","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/207"
"Yorkshire Games - Mixed Pairs","15d Bergen Way, Hull HU7 0YQ","Crossfit Hull","","GB","Throwdown Hub Presents","17","04","2020","18","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/208"
"ERGCOMP 2020","Weston Road","Staffordshire County Showground","","GB","Throwdown Hub Presents","17","04","2020","17","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/209"
"Valley Throwdown","Unit 16, cattlemarket site,winsford, Bristol,  BS40 8DG","CrossFit Chew Valley","","GB","Throwdown Hub Presents","29","03","2020","29","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/210"
"Form Fitness Series: Same Sex Pairs Scaled","6 Leodis Court, Leeds LS11 5JJ","Form Leeds","","GB","Throwdown Hub Presents","29","03","2020","29","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/211"
"The force","5 Mason Street Wigan WN3 4AQ England","Force gym Wigan","","GB","Throwdown Hub Presents","28","03","2020","29","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/212"
"Glacier games - The Thaw (Mixed pairs)","Neilson Rd, Gateshead NE10 0EF","Gatehead International Stadium","","GB","Throwdown Hub Presents","28","03","2020","28","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/213"
"The Richy Throwdown","19A Michael Road, Fulham, SW62ER ","CrossFit Worlds End","","GB","Throwdown Hub Presents","28","03","2020","28","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/214"
"The Project 'Spring Throwdown'","Unit 4 Turnoaks Lane, Hasland, Chesterfield, S40 2HA","The Project","","GB","Throwdown Hub Presents","28","03","2020","28","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/215"
"Form Fitness Series: Same Sex Pairs - RX","6 Leodis Court, Leeds LS11 5JJ","Form Leeds","","GB","Throwdown Hub Presents","28","03","2020","28","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/216"
"The Yard Games","Unit 1, 133 Copeland Rd, Peckham, London SE15 3SN","Crossfit Peckam","","GB","Throwdown Hub Presents","21","03","2020","21","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/217"
"Southern Rivals - Spring Edition","CrossFit Southampton, 3B Barton Park, Chickenhall Lane, Eastleigh, SO50 6RR","CrossFit Southampton","","GB","Throwdown Hub Presents","21","03","2020","21","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/218"
"Quad Squad 2020","Unit 25 Waterloo park, Bidford-on-Avon B50 4JG","Iron Mind Crossfit","","GB","Throwdown Hub Presents","13","04","2020","14","03","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/219"
"TRIPLE THREAT","20 Earlsfield Close, LN6 3RT","LN CrossFit =","","GB","Throwdown Hub Presents","16","02","2020","16","02","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/220"
"Gridlock - Worldwide Online Males Pairs Comp","","","GRIDLOCK 2020 IS A WORLDWIDE 3 WEEK COMPETITION WOTH PRIZE MONEY UP FOR GRABS. GRAB A MATE AND JOIN US IN A TEAM PAIRS SERIES - DECEMBER 3, 2020 - DECEMBER 17, 2020.In proud support of Livin&#39; we will be donating 10% of all registrations to &quot;It Ain&#39;t Weak to Speak&quot; to raise funds for mental health awareness.DIVISIONSBeginnersIntermediateMastersAdvanced","","Competition Expo Presents","03","12","2020","23","12","2020","Competition Expo","http://gridlockcompetition.com","https://throwdownhub.io/calendar/competition/info/533"
