"coin_name","coin_symbol","coin_slug","coin_price","coin_volume24h","coin_volume7d","coin_volume30d","coin_marketCap","coin_percentChange1h","coin_percentChange24h","coin_percentChange7d","coin_marketCapByTotalSupply","coin_circulatingSupply","cryptos","exchanges","market_cap","crypto_24h_volume","dominance","eth_Gas","todays_crypto_market_cap","todays_market_increase_or_decrease"
"Internet Computer","ICP","internet-computer","3.722620049437559","44008962.97039224","198618272.575333","1057831652.756664","1040526812.7841982","1.33300894","-2.26571525","-14.13526169","1835649816.6998425","279514642.63493896","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"EOS","EOS","eos","0.8819931943868956","153631901.21773127","826517128.6868628","4937816835.722994","950076363.1562657","-0.02487442","-5.09883043","-15.30456021","935800793.73187","1077192396.9512","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Pax Dollar","USDP","paxos-standard","0.9974366754202965","2419133.43774878","19459289.62755693","87503606.64819232","943218950.3179929","0.04152159","0.30249532","-0.36535349","943218950.3179929","945642940.11","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"MultiversX (Elrond)","EGLD","elrond-egld","38.47367949683286","29110658.5110159","137122248.89855656","972084879.4472066","917083971.1002733","-0.01279033","-5.66338989","-15.52014994","885521672.4555951","23836658.80399527","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Bitcoin SV","BSV","bitcoin-sv","46.087397051788464","78518102.76108332","798827260.789025","2722578246.6065145","887364802.290212","-0.10400735","-4.61107832","6.11674458","887364802.290212","19253957.89423905","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Terra Classic","LUNC","terra-luna","0.0001427884396809432","137242296.49689466","492361272.7456183","2325017747.6767373","852506661.1732804","-0.38228187","-8.84359602","-16.57830207","981343265.6120522","5970417934940.551","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Huobi Token","HT","huobi-token","5.434310906258599","19081309.45080755","87727840.39126708","578679847.478713","833393390.4454232","0.7585232","-9.67168126","-15.91842065","2717155453.1292996","153357694.25441208","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Tezos","XTZ","tezos","0.8580400616302689","24001919.66752773","199359504.61657578","755051067.8593605","789493325.2267067","-0.48032531","-5.46096718","-13.30346919","807883231.33492","920112428.930971","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Flow","FLOW","flow","0.759590738378855","52739927.20192491","220182736.01344824","1932140546.8389382","787087923.1081696","0.60017829","-10.45563652","-25.32852901","1044348913.4741911","1036200000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Aave","AAVE","aave","55.331894708805805","57175626.51638015","390934997.78505725","1956340701.5113623","779803047.978723","0.10897297","-4.84676325","-10.43530402","885310315.3408929","14093192.58056459","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"TrueUSD","TUSD","trueusd","0.9992474777046552","31299789.27747453","228318546.39142415","1042338112.2318479","756179053.5910119","-0.02703711","0.01701249","-0.00865504","756179053.5910119","756748523.7270858","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Theta Network","THETA","theta-network","0.7479590112929341","24972342.45893877","114867293.75863822","758522161.8977665","747959011.2929341","0.07946877","-6.11789899","-13.38253562","747959011.2929341","1000000000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Chiliz","CHZ","chiliz","0.11901407347949533","211469432.48484","1525450650.7378457","6836777212.315994","730434398.2843072","0.3326083","-12.53407403","-20.43075047","1057902875.2675016","6137378353.074791","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"The Sandbox","SAND","the-sandbox","0.4778194501692533","145591945.1259259","680172547.8592728","3347243587.2317863","716475982.6564988","0.1025518","-7.01153513","-18.13515259","1433458350.5077598","1499470108.2233226","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"USDD","USDD","usdd","0.9783998373671324","14662671.80742148","318581327.4923382","506114178.6753176","709664745.9052265","-0.00023406","-0.191725","0.23071133","709664745.9052265","725332035.842248","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Trust Wallet Token","TWT","trust-wallet-token","1.6448989152073181","206035652.81897628","966389916.7101389","5827713245.8667345","685346968.5312376","-0.75199098","-16.1121481","-35.56295777","1644353052.2125087","416649900.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Axie Infinity","AXS","axie-infinity","6.800160389322346","70481938.24613439","749414137.1968249","2524142656.8863044","677523645.3158897","-0.00787386","-5.7897556","-19.20691354","1836043305.1170335","99633480.17198853","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Zcash","ZEC","zcash","41.902100570417716","50433676.10439078","274485777.4738801","1494511193.5129972","667709448.8133491","0.77556219","-5.42471731","-8.71057682","667709448.8133491","15934987.5","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
