"name","sku","page_url","specifications","img_url"
"Rebated tubular latch electro brass 44.5mm","J2650-EB-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-electro-brass-44-5mm-j2650-eb-2-50","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2650%20EB%202%2050.jpg"
"HD26 heavy duty tubular latch","JHD26R-PB/SS-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/hd26-heavy-duty-tubular-latch","HD26 heavy-duty tubular latch suitable for sprung and light unsprung lever furniture and knob furniture, features a profiled beveled latch bolt for smooth and positive engagement, universally handed and supplied with square and radius faceplates.","https://d3oaxe41u6vpgy.cloudfront.net/JHD26R%20PB%20SS%202%205.jpg"
"CE smartlatch","DH002280-F","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/ce-smartlatch","Push-fit CE smart passage latch allows the product to be installed in under 5 minutes with its push-fit design, supplied with both round (fire rated) and rectangular (non-fire rated) strike plates, includes a splinter guard for a professional finish and ha","https://d3oaxe41u6vpgy.cloudfront.net/DH002280%20F.png"
"CE smartlatch antique brass","DH002295-F","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/ce-smartlatch-antique-brass","Push-fit ce smart passage latch allows the product to be installed in under 5 minutes with its push-fit design, supplied with both round (fire rated) and rectangular (non-fire rated) strike plates, includes a splinter guard for a professional finish and ha","https://d3oaxe41u6vpgy.cloudfront.net/DH002280%20F.png"
"CE smartlatch black nickel","DH002290-F","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/ce-smartlatch-black-nickel","Push-fit ce smart passage latch allows the product to be installed in under 5 minutes with its push-fit design, supplied with both round (fire rated) and rectangular (non-fire rated) strike plates, includes a splinter guard for a professional finish and ha","https://d3oaxe41u6vpgy.cloudfront.net/DH002280%20F.png"
"CE smartlatch polished chrome","DH002285-F","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/ce-smartlatch-polished-chrome","Push-fit ce smart passage latch allows the product to be installed in under 5 minutes with its push-fit design, supplied with both round (fire rated) and rectangular (non-fire rated) strike plates, includes a splinter guard for a professional finish and ha","https://d3oaxe41u6vpgy.cloudfront.net/DH002280%20F.png"
"Fastbolt chrome 57mm","JFL27-CH-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-chrome-57mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://d3oaxe41u6vpgy.cloudfront.net/JFL27%20CH%203%200.jpg"
"Fastbolt satin nickel 57mm","JFL27-SN-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-satin-nickel-57mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://d3oaxe41u6vpgy.cloudfront.net/JFL27%20SN%203%200.jpg"
"Fastbolt polished brass 45mm","JFL27-PB-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-polished-brass-45mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://ecat.assaabloy.co.uk/gallery/UNION/Mortice_Locks/ModLatch_Images/DSC_9938.jpg"
"Fastbolt chrome 45mm","JFL27-CH-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-chrome-45mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://d3oaxe41u6vpgy.cloudfront.net/JFL27%20CH%202%205.jpg"
"Fastbolt satin nickel 45mm","JFL27-SN-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-satin-nickel-45mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://ecat.assaabloy.co.uk/gallery/UNION/Mortice_Locks/ModLatch_Images/DSC_9938.jpg"
"Fastlatch chrome 57mm","JNFL26-CH-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-chrome-57mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"Fastlatch satin nickel 57mm","JNFL26-SN-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-satin-nickel-57mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"Fastlatch chrome 45mm","JNFL26-CH-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-chrome-45mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"Fastlatch satin nickel 45mm","JNFL26-SN-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-satin-nickel-45mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"Fastbolt polished brass 57mm","JFL27-PB-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastbolt-polished-brass-57mm","Push-fit fastbolt allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation and supplied with  splinter guard for a professional finish","https://d3oaxe41u6vpgy.cloudfront.net/JFL27%20PB%203%200.jpg"
"Fastlatch polished brass 45mm","JNFL26-PB-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-polished-brass-45mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"Fastlatch polished brass 57mm","JNFL26-PB-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/push-fit/fastlatch-polished-brass-57mm","Push-fit fastlatch allows the product to be installed in under 5 minutes with its push-fit design, the nylon latch bolt allows for quiet operation, suitable for sprung lever handles and offers universal handing.","https://d3oaxe41u6vpgy.cloudfront.net/JNFL26%20SN%2025.jpg"
"StrongBOLT euro profile deadlock stainless steel","JL21EUS-SS-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/mortice-locks/cylinder-lockcases/strongbolt/strongbolt-euro-profile-deadlock-stainless-steel","Euro-profile StrongBOLT deadlock with chamfered bolt for greater attack resistance, featuring anti-pick and anti-saw for resistance against attack, easy retro-fit for many existing uk mortice locks and suitable for doors up to 54mm thick.","https://d3oaxe41u6vpgy.cloudfront.net/JL21EUS-SS-3.0.jpg"
"StrongBOLT euro profile deadlock polished brass","JL21EUS-PB-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/mortice-locks/cylinder-lockcases/strongbolt/strongbolt-euro-profile-deadlock-polished-brass","Euro-profile StrongBOLT deadlock with chamfered bolt for greater attack resistance, featuring anti-pick and anti-saw for resistance against attack, easy retro-fit for many existing uk mortice locks and suitable for doors up to 54mm thick.","https://d3oaxe41u6vpgy.cloudfront.net/JL21EUS-PB-3.0.jpg"
